Current Time,Latitude,Longitude,Time,Altitude,Velocity,Satelites,Acceleration,Temperature,GyroX,,,,
2019-05-18 16:05,46.004536,-72.732674,104.234,1.29,0.48152,8,10.05,34.02,0.375,,,,
2019-05-18 16:05,46.004536,-72.732674,104.308,1.57,0.48152,8,10.05,34.01,0.625,,,,
2019-05-18 16:05,46.004532,-72.732674,104.378,1.8,0.48152,8,10.06,34,0.4375,,,,
2019-05-18 16:05,46.004532,-72.732674,104.452,1.39,0.48152,8,10.04,34.01,0.375,,,,
2019-05-18 16:05,46.004532,-72.732674,104.523,1.32,0.48152,8,10.03,34.01,-0.0625,,,,
2019-05-18 16:05,46.004532,-72.732674,104.594,1.57,0.48152,8,10.04,34.01,-0.0625,,,,
2019-05-18 16:05,46.004532,-72.732674,104.67,1.37,0.48152,8,10.05,34.01,-0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,104.742,1.13,0.48152,8,10.08,34.02,-0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,104.814,1.28,0.48152,8,10.03,34.01,-0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,104.887,1.34,0.48152,8,10.06,34.01,-0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,104.962,1.4,0.48152,8,10.04,34.01,-0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,105.033,1.51,0.48152,8,10.07,34.01,0,,,,
2019-05-18 16:05,46.004532,-72.732674,105.104,1.32,0.48152,8,10.04,34.01,0.3125,,,,
2019-05-18 16:05,46.004532,-72.732674,105.176,1.27,0.48152,8,10.06,34.02,0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,105.033,1.51,0.48152,8,10.07,34.01,0,,,,
2019-05-18 16:05,46.004532,-72.732674,105.104,1.32,0.48152,8,10.04,34.01,0.3125,,,,
2019-05-18 16:05,46.004532,-72.732674,105.176,1.27,0.48152,8,10.06,34.02,0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,105.394,1.51,0.48152,8,10.06,34.01,0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,105.464,1.31,0.48152,8,10.04,34.02,0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,105.535,1.57,0.48152,8,10.06,34.01,-0.0625,,,,
2019-05-18 16:05,46.004532,-72.732674,105.681,1.31,0.48152,8,10.08,34.02,-0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,105.755,1.33,0.48152,8,10.06,34.02,-0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,105.827,1.41,0.48152,8,10.03,34.02,-0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,105.902,1.41,0.48152,8,10.05,34.02,-0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,105.975,1.75,0.48152,8,10.05,34.01,-0.125,,,,
2019-05-18 16:05,46.004532,-72.732674,106.046,1.64,0.48152,8,10.04,34.03,0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,106.406,1.46,0.48152,8,10.04,34.03,0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,106.478,1.7,0.48152,8,10.04,34.02,0.125,,,,
2019-05-18 16:05,46.004532,-72.732674,106.549,1.33,0.48152,8,10.08,34.03,-0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,106.647,1.48,0.48152,8,10.03,34.03,-0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,106.697,1.14,0.48152,8,10.06,34.03,-0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,106.768,1.2,0.48152,8,10.05,34.03,-0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,106.841,1.56,0.48152,8,10.04,34.02,-0.125,,,,
2019-05-18 16:05,46.004532,-72.732674,106.916,1.29,0.48152,8,10.06,34.04,-0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,106.987,1.44,0.48152,8,10.04,34.03,0,,,,
2019-05-18 16:05,46.004532,-72.732674,107.059,1.31,0.48152,8,10.04,34.04,0.25,,,,
2019-05-18 16:05,46.004532,-72.732674,107.419,1.78,0.48152,8,10.08,34.04,0.125,,,,
2019-05-18 16:05,46.004532,-72.732674,107.49,1.84,0.48152,8,10.05,34.04,0,,,,
2019-05-18 16:05,46.004532,-72.732674,107.561,1.75,0.48152,8,10.06,34.04,-0.125,,,,
2019-05-18 16:05,46.004532,-72.732674,107.419,1.78,0.48152,8,10.08,34.04,0.125,,,,
2019-05-18 16:05,46.004532,-72.732674,107.49,1.84,0.48152,8,10.05,34.04,0,,,,
2019-05-18 16:05,46.004532,-72.732674,107.561,1.75,0.48152,8,10.06,34.04,-0.125,,,,
2019-05-18 16:05,4532,-72.732674,107.634,1.69,0.48152,8,10.04,34.05,-0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,107.709,1.64,0.48152,8,10.04,34.04,-0.125,,,,
2019-05-18 16:05,46.004532,-72.732674,107.78,1.34,0.48152,8,10.08,34.04,-0.0625,,,,
2019-05-18 16:05,46.004532,-72.732674,107.853,1.61,0.48152,8,10.06,34.04,0,,,,
2019-05-18 16:05,46.004532,-72.732674,107.928,1.61,0.48152,8,10.06,34.05,0.125,,,,
2019-05-18 16:05,46.004532,-72.732674,107.999,1.45,0.48152,8,10.06,34.06,0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,108.07,1.59,0.48152,8,10.06,34.05,0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,108.212,1.54,0.48152,8,10.05,34.05,0.125,,,,
2019-05-18 16:05,46.004532,-72.732674,108.284,1.61,0.48152,8,10.04,34.05,-0.0625,,,,
2019-05-18 16:05,46.004532,-72.732674,108.36,1.34,0.48152,8,10.06,34.05,-0.0625,,,,
2019-05-18 16:05,46.004532,-72.732674,108.503,1.72,0.48152,8,10.04,34.05,-0.1875,,,,
2019-05-18 16:05,46.004532,-72.732674,108.578,1.28,0.48152,8,10.05,34.06,-0.125,,,,
2019-05-18 16:05,46.004532,-72.732674,108.651,1.69,0.48152,8,10.05,34.06,-0.0625,,,,
2019-05-18 16:05,46.004532,-72.732674,108.722,1.58,0.48152,8,10.05,34.04,-0.0625,,,,
2019-05-18 16:05,46.004532,-72.732674,108.794,1.8,0.48152,8,10.07,34.05,0.0625,,,,
2019-05-18 16:05,46.004532,-72.732674,108.868,1.6,0.48152,8,10.05,34.06,0.1875,,,,
2019-05-18 16:05,46.004536,-72.732674,109.519,1.73,0.48152,8,10.07,34.06,-0.0625,,,,
2019-05-18 16:05,46.004536,-72.732674,109.591,1.8,0.48152,8,10.07,34.06,0.0625,,,,
2019-05-18 16:05,46.004536,-72.732674,109.519,1.73,0.48152,8,10.07,34.06,-0.0625,,,,
2019-05-18 16:05,46.004536,-72.732674,109.591,1.8,0.48152,8,10.07,34.06,0.0625,,,,
2019-05-18 16:05,46.004536,-72.732674,109.664,1.5,0.48152,8,10.05,34.06,0.0625,,,,
2019-05-18 16:05,46.004536,-72.732674,109.735,1.44,0.48152,8,10.05,34.06,0.3125,,,,
2019-05-18 16:05,46.004536,-72.732674,109.806,1.32,0.48152,8,10.06,34.07,0.25,,,,
2019-05-18 16:05,46.004536,-72.732674,109.879,1.52,0.48152,8,10.06,34.06,0.3125,,,,
2019-05-18 16:05,46.004536,-72.732674,110.266,1.57,0.48152,8,10.03,34.07,-0.1875,,,,
2019-05-18 16:05,46.004536,-72.732674,110.315,1.61,0.48152,8,10.05,34.07,-0.25,,,,
2019-05-18 16:05,46.004536,-72.732674,110.386,1.63,0.48152,8,10.07,34.07,-0.1875,,,,
2019-05-18 16:05,46.004536,-72.732674,110.534,1.2,0.48152,8,10.08,34.09,0.125,,,,
2019-05-18 16:05,46.004536,-72.732674,110.605,1.47,0.48152,8,10.05,34.08,0.0625,,,,
2019-05-18 16:05,46.004536,-72.732674,110.676,1.7,0.48152,8,10.07,34.07,0.25,,,,
2019-05-18 16:05,46.004536,-72.732674,110.747,1.84,0.48152,8,10.07,34.06,0.25,,,,
2019-05-18 16:05,46.004536,-72.732674,110.818,1.5,0.48152,8,10.05,34.08,0.25,,,,
2019-05-18 16:05,46.004536,-72.732674,110.89,1.63,0.48152,8,10.05,34.07,0.3125,,,,
2019-05-18 16:05,46.004536,-72.732674,110.965,1.79,0.48152,8,10.03,34.07,0.1875,,,,
2019-05-18 16:05,46.004536,-72.732674,111.037,1.56,0.48152,8,10.05,34.07,-0.0625,,,,
2019-05-18 16:05,46.004536,-72.732674,111.108,1.61,0.48152,8,10.03,34.07,-0.25,,,,
2019-05-18 16:05,46.004536,-72.732674,111.18,1.51,0.48152,8,10.05,34.07,-0.25,,,,
2019-05-18 16:05,46.004536,-72.732674,111.327,1.58,0.48152,8,10.06,34.07,-0.375,,,,
2019-05-18 16:05,46.004536,-72.732674,111.399,1.41,0.48152,8,10.07,34.08,-0.1875,,,,
2019-05-18 16:05,46.004536,-72.732674,111.473,1.34,0.48152,8,10.07,34.09,-0.125,,,,
2019-05-18 16:05,46.004536,-72.732674,112.121,1.45,0.48152,8,10.04,34.08,-0.125,,,,
2019-05-18 16:05,46.004536,-72.732674,112.193,1.76,0.48152,8,10.08,34.08,-0.1875,,,,
2019-05-18 16:05,46.004536,-72.732674,112.269,1.56,0.48152,8,10.04,34.08,-0.125,,,,
2019-05-18 16:05,46.004536,-72.732674,112.341,1.52,0.48152,8,10.06,34.08,0,,,,
2019-05-18 16:05,46.004536,-72.732674,112.411,1.64,0.48152,8,10.05,34.08,-0.125,,,,
2019-05-18 16:05,46.004536,-72.732674,112.485,1.83,0.48152,8,10.05,34.08,-0.0625,,,,
2019-05-18 16:05,46.004536,-72.732674,113.133,1.53,0.48152,8,10.05,34.09,0.0625,,,,
2019-05-18 16:05,46.004536,-72.732674,113.205,1.54,0.48152,8,10.05,34.09,0.1875,,,,
